,job_unique_id,cluster_id,submit_time,partition_id_x,account_id,req_cpus,req_mem_total,req_tres,alloc_nodes,state,priority_x,eligible_time,start_time,elapsed_time,end_time,time_limit,job_summary_id,submit_wait,submit_wait_sec,eligible_wait,eligible_wait_sec,run_time,run_time_sec,job_augment_id,req_mem_per_cpu,time_limit_sec,poll_time,pending_id,poll_wait_sec,partition_id_y,priority_y,q_jobs_above,q_cores_above,q_mem_above,q_core_hours_above,q_core_run_hours,q_p_jobs_above,q_p_cores_above,q_p_mem_above,q_p_core_hours_above,q_p_core_run_hours,q_a_jobs_above,q_a_cores_above,q_a_mem_above,q_a_core_hours_above,q_a_core_run_hours,q_p_a_jobs_above,q_p_a_cores_above,q_p_a_mem_above,q_p_a_core_hours_above,q_p_a_core_run_hours,q_gpus_above,q_p_gpus_above,q_a_gpus_above,q_p_a_gpus_above,q_gpu_hours_above,q_p_gpu_hours_above,q_a_gpu_hours_above,q_p_a_gpu_hours_above,q_gpu_run_hours,q_p_gpu_run_hours,q_a_gpu_run_hours,q_p_a_gpu_run_hours,poll_wait,running_id,r_jobs_above,r_cores_above,r_mem_above,r_core_hours_above,r_p_jobs_above,r_p_cores_above,r_p_mem_above,r_p_core_hours_above,r_a_jobs_above,r_a_cores_above,r_a_mem_above,r_a_core_hours_above,r_p_a_jobs_above,r_p_a_cores_above,r_p_a_mem_above,r_p_a_core_hours_above,r_gpus_above,r_p_gpus_above,r_a_gpus_above,r_p_a_gpus_above,r_gpu_hours_above,r_p_gpu_hours_above,r_a_gpu_hours_above,r_p_a_gpu_hours_above,sshare_id,raw_share_poll,norm_share_poll,raw_use_poll,effect_use_poll,level_fs_poll,norm_use_poll,norm_use_log_poll
2286,68055477,3,2021-06-29 03:16:28,20,18410,64,131072,"billing=64,cpu=64,mem=131072M,node=6",6,TIMEOUT,1794442,2021-06-29 03:16:28,2021-06-30 11:11:48,115217,2021-07-01 19:12:05,1 days 08:00:00,68054409,1 days 07:55:20,114920,1 days 07:55:20,114920,1 days 08:00:17,115217,68054409,2048.0,115200,2021-06-29 12:00:00,71939177,83508,20,0.00041858828635999996,2207,19127,92770232,1678175.43,588329.31,163,1730,4745400,92520.87,29088.17,6,2048,8067072,172544.0,2892.75,1,64,131072,2048.0,886.22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 23:11:48,71939177,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,3,176,360448,8348.01,2,128,262144,5034.81,0,0,0,0,0.0,0.0,0.0,0.0,11568115,334000,0.005693,384188854,0.011879,0.4792490950416702,2.0865975759704902,0.7355347853384578
2287,68055289,3,2021-06-29 03:14:54,20,18410,48,98304,"billing=48,cpu=48,mem=98304M,node=6",6,TIMEOUT,1794416,2021-06-29 03:14:54,2021-06-30 00:37:53,115225,2021-07-01 08:38:18,1 days 08:00:00,68054221,0 days 21:22:59,76979,0 days 21:22:59,76979,1 days 08:00:25,115225,68054221,2048.0,115200,2021-06-29 12:00:00,71939178,45473,20,0.00041858223276999997,2208,19191,92901304,1680223.43,590377.61,164,1794,4876472,94568.87,31136.47,7,2112,8198144,174592.0,4941.05,2,128,262144,4096.0,2934.52,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 12:37:53,71939178,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,3,176,360448,8348.01,2,128,262144,5034.81,0,0,0,0,0.0,0.0,0.0,0.0,11568115,334000,0.005693,384188854,0.011879,0.4792490950416702,2.0865975759704902,0.7355347853384578
2288,68055409,3,2021-06-29 03:15:22,20,18410,64,131072,"billing=64,cpu=64,mem=131072M,node=6",6,FAILED,1794442,2021-06-29 03:15:22,2021-06-30 03:11:53,49850,2021-06-30 17:02:43,1 days 08:00:00,68054341,0 days 23:56:31,86191,0 days 23:56:31,86191,0 days 13:50:50,49850,68054341,2048.0,115200,2021-06-29 12:00:00,71939176,54713,20,0.00041858828635999996,2206,19063,92639160,1676127.43,587443.09,162,1666,4614328,90472.87,28201.95,5,1984,7936000,170496.0,2006.52,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 15:11:53,71939176,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,3,176,360448,8348.01,2,128,262144,5034.81,0,0,0,0,0.0,0.0,0.0,0.0,11568115,334000,0.005693,384188854,0.011879,0.4792490950416702,2.0865975759704902,0.7355347853384578
2289,68089540,3,2021-06-29 07:57:15,27,18410,416,1664000,"billing=416,cpu=416,node=13",13,FAILED,1794133,2021-06-29 07:57:15,2021-07-05 00:00:19,3668,2021-07-05 01:01:27,4 days 00:00:00,68088472,5 days 16:03:04,489784,5 days 16:03:04,489784,0 days 01:01:08,3668,68088472,4000.0,345600,2021-06-29 12:00:00,71939175,475219,27,0.00041862623776,2205,18647,90975160,1636191.43,587019.23,7,2200,10102784,286656.0,51016.25,4,1568,6272000,130560.0,1582.67,3,1152,4608000,110592.0,1161.35,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5 days 12:00:19,71939175,4884,31238,111897700,1337952.83,42,2592,8776144,225888.81,3,176,360448,8348.01,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11568115,334000,0.005693,384188854,0.011879,0.4792490950416702,2.0865975759704902,0.7355347853384578
2290,68089388,3,2021-06-29 07:55:19,26,18410,416,1664000,"billing=416,cpu=416,node=13",13,FAILED,1794304,2021-06-29 07:55:19,2021-06-29 12:48:54,3646,2021-06-29 13:49:40,2 days 00:00:00,68088320,0 days 04:53:35,17615,0 days 04:53:35,17615,0 days 01:00:46,3646,68088320,4000.0,172800,2021-06-29 12:00:00,71939174,2934,26,0.00041866628463,2204,18231,89311160,1616223.43,586597.92,1,32,191000,1119.47,793.04,3,1152,4608000,110592.0,1161.35,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:48:54,71939174,4884,31238,111897700,1337952.83,79,3264,11010560,104090.29,3,176,360448,8348.01,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11568115,334000,0.005693,384188854,0.011879,0.4792490950416702,2.0865975759704902,0.7355347853384578
2294,68082925,3,2021-06-29 06:24:55,25,18810,32,128000,"billing=32,cpu=32,mem=128000M,node=1",1,COMPLETED,1790605,2021-06-29 06:24:55,2021-07-01 16:53:48,9889,2021-07-01 19:38:37,1 days 00:00:00,68081886,2 days 10:28:53,210533,2 days 10:28:53,210533,0 days 02:44:49,9889,68081886,4000.0,86400,2021-06-29 12:00:00,71939916,190428,25,0.00041565252477999997,2946,42163,131227256,2346424.1,1024360.82,61,19872,8683520,440298.67,424954.12,2,128,512000,9216.0,6914.4,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2 days 04:53:48,71939916,4884,31238,111897700,1337952.83,30,3488,12850624,47125.93,8,1280,5120000,16920.71,8,1280,5120000,16920.71,0,0,0,0,0.0,0.0,0.0,0.0,11568223,413000,0.007039,517607218,0.016005,0.43980006248047493,2.273760477340531,0.8214350587958317
2295,68103622,3,2021-06-29 10:49:18,25,18810,32,128000,"billing=32,cpu=32,mem=128000M,node=1",1,COMPLETED,1793093,2021-06-29 10:49:18,2021-07-01 16:53:48,79673,2021-07-02 15:01:41,1 days 00:00:00,68102546,2 days 06:04:30,194670,2 days 06:04:30,194670,0 days 22:07:53,79673,68102546,4000.0,86400,2021-06-29 12:00:00,71939918,190428,25,0.00041563739078,2948,42259,131371640,2350263.03,1025010.05,62,19904,8811520,441066.67,425042.02,3,160,640000,9984.0,7002.3,1,32,128000,768.0,87.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2 days 04:53:48,71939918,4884,31238,111897700,1337952.83,30,3488,12850624,47125.93,8,1280,5120000,16920.71,8,1280,5120000,16920.71,0,0,0,0,0.0,0.0,0.0,0.0,11568223,413000,0.007039,517607218,0.016005,0.43980006248047493,2.273760477340531,0.8214350587958317
2296,68108356,3,2021-06-29 11:34:18,24,18810,32,128000,"billing=32,cpu=32,mem=128000M,node=1",1,CANCELLED,1783939,2021-06-29 11:34:18,2021-06-29 12:10:54,13534,2021-06-29 15:56:28,0 days 10:00:00,68107280,0 days 00:36:36,2196,0 days 00:36:36,2196,0 days 03:45:34,13534,68107280,4000.0,36000,2021-06-29 12:00:00,71939919,654,24,0.00041563482964999997,2949,42291,131499640,2351031.03,1025718.26,25,4384,17039360,25984.0,3465.79,4,192,768000,10752.0,7710.51,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 days 00:10:54,71939919,4884,31238,111897700,1337952.83,48,1792,4902912,11328.67,8,1280,5120000,16920.71,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,11568223,413000,0.007039,517607218,0.016005,0.43980006248047493,2.273760477340531,0.8214350587958317
2564,68057232,3,2021-06-29 03:31:38,20,13823,16,16384,"billing=16,cpu=16,mem=16384M,node=1",1,COMPLETED,1778590,2021-06-29 03:31:38,2021-07-01 20:04:27,8504,2021-07-01 22:26:11,2 days 12:00:00,68056164,2 days 16:32:49,232369,2 days 16:32:49,232369,0 days 02:21:44,8504,68056164,1024.0,216000,2021-06-29 12:00:00,71939966,201867,20,0.00041535077626,2996,43059,132381304,2388311.03,1032445.78,213,2582,5753016,133256.87,39338.62,46,736,753664,36960.0,6607.22,46,736,753664,36960.0,6607.22,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2 days 08:04:27,71939966,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,4,60,61440,802.86,1,16,16384,76.6,0,0,0,0,0.0,0.0,0.0,0.0,11567677,65143,0.00111,82482590,0.00255,0.43529411764705883,2.2972972972972974,0.831733343846092
2565,68057231,3,2021-06-29 03:31:38,20,13823,16,16384,"billing=16,cpu=16,mem=16384M,node=1",1,COMPLETED,1778590,2021-06-29 03:31:38,2021-07-01 19:49:33,1622,2021-07-01 20:16:35,2 days 12:00:00,68056163,2 days 16:17:55,231475,2 days 16:17:55,231475,0 days 00:27:02,1622,68056163,1024.0,216000,2021-06-29 12:00:00,71939965,200973,20,0.00041535077626,2995,43043,132364920,2387351.03,1032438.57,212,2566,5736632,132296.87,39331.41,45,720,737280,36000.0,6600.01,45,720,737280,36000.0,6600.01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2 days 07:49:33,71939965,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,4,60,61440,802.86,1,16,16384,76.6,0,0,0,0,0.0,0.0,0.0,0.0,11567677,65143,0.00111,82482590,0.00255,0.43529411764705883,2.2972972972972974,0.831733343846092
2566,68057230,3,2021-06-29 03:31:38,20,13823,16,16384,"billing=16,cpu=16,mem=16384M,node=1",1,OUT_OF_MEMORY,1778590,2021-06-29 03:31:38,2021-07-01 19:49:33,72869,2021-07-02 16:04:02,2 days 12:00:00,68056162,2 days 16:17:55,231475,2 days 16:17:55,231475,0 days 20:14:29,72869,68056162,1024.0,216000,2021-06-29 12:00:00,71939964,200973,20,0.00041535077626,2994,43027,132348536,2386391.03,1032114.71,211,2550,5720248,131336.87,39007.55,44,704,720896,35040.0,6276.15,44,704,720896,35040.0,6276.15,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2 days 07:49:33,71939964,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,4,60,61440,802.86,1,16,16384,76.6,0,0,0,0,0.0,0.0,0.0,0.0,11567677,65143,0.00111,82482590,0.00255,0.43529411764705883,2.2972972972972974,0.831733343846092
2567,68057233,3,2021-06-29 03:31:38,20,13823,16,16384,"billing=16,cpu=16,mem=16384M,node=1",1,OUT_OF_MEMORY,1778590,2021-06-29 03:31:38,2021-07-01 20:09:25,58737,2021-07-02 12:28:22,2 days 12:00:00,68056165,2 days 16:37:47,232667,2 days 16:37:47,232667,0 days 16:18:57,58737,68056165,1024.0,216000,2021-06-29 12:00:00,71939967,202165,20,0.00041535077626,2997,43075,132397688,2389271.03,1032483.57,214,2598,5769400,134216.87,39376.41,47,752,770048,37920.0,6645.01,47,752,770048,37920.0,6645.01,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2 days 08:09:25,71939967,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,4,60,61440,802.86,1,16,16384,76.6,0,0,0,0,0.0,0.0,0.0,0.0,11567677,65143,0.00111,82482590,0.00255,0.43529411764705883,2.2972972972972974,0.831733343846092
2568,68057234,3,2021-06-29 03:31:38,20,13823,16,16384,"billing=16,cpu=16,mem=16384M,node=1",1,OUT_OF_MEMORY,1778590,2021-06-29 03:31:38,2021-07-01 20:09:26,6528,2021-07-01 21:58:14,2 days 12:00:00,68056166,2 days 16:37:48,232668,2 days 16:37:48,232668,0 days 01:48:48,6528,68056166,1024.0,216000,2021-06-29 12:00:00,71939973,202166,20,0.00041535077626,3003,43171,132495992,2395031.03,1033244.62,220,2694,5867704,139976.87,40137.46,53,848,868352,43680.0,7406.06,53,848,868352,43680.0,7406.06,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2 days 08:09:26,71939973,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,4,60,61440,802.86,1,16,16384,76.6,0,0,0,0,0.0,0.0,0.0,0.0,11567677,65143,0.00111,82482590,0.00255,0.43529411764705883,2.2972972972972974,0.831733343846092
2569,68057235,3,2021-06-29 03:31:38,20,13823,16,16384,"billing=16,cpu=16,mem=16384M,node=1",1,COMPLETED,1778590,2021-06-29 03:31:38,2021-07-01 20:15:24,102452,2021-07-03 00:42:56,2 days 12:00:00,68056167,2 days 16:43:46,233026,2 days 16:43:46,233026,1 days 04:27:32,102452,68056167,1024.0,216000,2021-06-29 12:00:00,71939974,202524,20,0.00041535077626,3004,43187,132512376,2395991.03,1033273.64,221,2710,5884088,140936.87,40166.48,54,864,884736,44640.0,7435.08,54,864,884736,44640.0,7435.08,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2 days 08:15:24,71939974,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,4,60,61440,802.86,1,16,16384,76.6,0,0,0,0,0.0,0.0,0.0,0.0,11567677,65143,0.00111,82482590,0.00255,0.43529411764705883,2.2972972972972974,0.831733343846092
2570,68057236,3,2021-06-29 03:31:38,20,13823,16,16384,"billing=16,cpu=16,mem=16384M,node=1",1,COMPLETED,1778590,2021-06-29 03:31:38,2021-07-01 20:20:24,100092,2021-07-03 00:08:36,2 days 12:00:00,68056168,2 days 16:48:46,233326,2 days 16:48:46,233326,1 days 03:48:12,100092,68056168,1024.0,216000,2021-06-29 12:00:00,71939976,202824,20,0.00041535077626,3006,43219,132545144,2397911.03,1033779.52,223,2742,5916856,142856.87,40672.36,56,896,917504,46560.0,7940.96,56,896,917504,46560.0,7940.96,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2 days 08:20:24,71939976,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,4,60,61440,802.86,1,16,16384,76.6,0,0,0,0,0.0,0.0,0.0,0.0,11567677,65143,0.00111,82482590,0.00255,0.43529411764705883,2.2972972972972974,0.831733343846092
2571,68057238,3,2021-06-29 03:31:38,20,13823,16,16384,"billing=16,cpu=16,mem=16384M,node=1",1,OUT_OF_MEMORY,1778590,2021-06-29 03:31:38,2021-07-01 20:20:24,25387,2021-07-02 03:23:31,2 days 12:00:00,68056170,2 days 16:48:46,233326,2 days 16:48:46,233326,0 days 07:03:07,25387,68056170,1024.0,216000,2021-06-29 12:00:00,71939978,202824,20,0.00041535077626,3008,43251,132577912,2399831.03,1034476.18,225,2774,5949624,144776.87,41369.02,58,928,950272,48480.0,8637.62,58,928,950272,48480.0,8637.62,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2 days 08:20:24,71939978,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,4,60,61440,802.86,1,16,16384,76.6,0,0,0,0,0.0,0.0,0.0,0.0,11567677,65143,0.00111,82482590,0.00255,0.43529411764705883,2.2972972972972974,0.831733343846092
2572,68057237,3,2021-06-29 03:31:38,20,13823,16,16384,"billing=16,cpu=16,mem=16384M,node=1",1,COMPLETED,1778590,2021-06-29 03:31:38,2021-07-01 20:20:24,56656,2021-07-02 12:04:40,2 days 12:00:00,68056169,2 days 16:48:46,233326,2 days 16:48:46,233326,0 days 15:44:16,56656,68056169,1024.0,216000,2021-06-29 12:00:00,71939977,202824,20,0.00041535077626,3007,43235,132561528,2398871.03,1034224.37,224,2758,5933240,143816.87,41117.21,57,912,933888,47520.0,8385.81,57,912,933888,47520.0,8385.81,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2 days 08:20:24,71939977,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,4,60,61440,802.86,1,16,16384,76.6,0,0,0,0,0.0,0.0,0.0,0.0,11567677,65143,0.00111,82482590,0.00255,0.43529411764705883,2.2972972972972974,0.831733343846092
2573,68057241,3,2021-06-29 03:31:39,20,13823,16,16384,"billing=16,cpu=16,mem=16384M,node=1",1,OUT_OF_MEMORY,1778590,2021-06-29 03:31:39,2021-07-03 08:16:45,113842,2021-07-04 15:54:07,2 days 12:00:00,68056173,4 days 04:45:06,362706,4 days 04:45:06,362706,1 days 07:37:22,113842,68056173,1024.0,216000,2021-06-29 12:00:00,71939981,332205,20,0.00041535077626,3011,43299,132627064,2402711.03,1034762.49,228,2822,5998776,147656.87,41655.33,61,976,999424,51360.0,8923.93,61,976,999424,51360.0,8923.93,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3 days 20:16:45,71939981,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,4,60,61440,802.86,1,16,16384,76.6,0,0,0,0,0.0,0.0,0.0,0.0,11567677,65143,0.00111,82482590,0.00255,0.43529411764705883,2.2972972972972974,0.831733343846092
2574,68057240,3,2021-06-29 03:31:39,20,13823,16,16384,"billing=16,cpu=16,mem=16384M,node=1",1,OUT_OF_MEMORY,1778590,2021-06-29 03:31:39,2021-07-03 07:32:32,33220,2021-07-03 16:46:12,2 days 12:00:00,68056172,4 days 04:00:53,360053,4 days 04:00:53,360053,0 days 09:13:40,33220,68056172,1024.0,216000,2021-06-29 12:00:00,71939980,329552,20,0.00041535077626,3010,43283,132610680,2401751.03,1034614.85,227,2806,5982392,146696.87,41507.69,60,960,983040,50400.0,8776.29,60,960,983040,50400.0,8776.29,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3 days 19:32:32,71939980,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,4,60,61440,802.86,1,16,16384,76.6,0,0,0,0,0.0,0.0,0.0,0.0,11567677,65143,0.00111,82482590,0.00255,0.43529411764705883,2.2972972972972974,0.831733343846092
2575,68057239,3,2021-06-29 03:31:39,20,13823,16,16384,"billing=16,cpu=16,mem=16384M,node=1",1,OUT_OF_MEMORY,1778590,2021-06-29 03:31:39,2021-07-03 07:28:04,5814,2021-07-03 09:04:58,2 days 12:00:00,68056171,4 days 03:56:25,359785,4 days 03:56:25,359785,0 days 01:36:54,5814,68056171,1024.0,216000,2021-06-29 12:00:00,71939979,329284,20,0.00041535077626,3009,43267,132594296,2400791.03,1034589.01,226,2790,5966008,145736.87,41481.85,59,944,966656,49440.0,8750.45,59,944,966656,49440.0,8750.45,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3 days 19:28:04,71939979,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,4,60,61440,802.86,1,16,16384,76.6,0,0,0,0,0.0,0.0,0.0,0.0,11567677,65143,0.00111,82482590,0.00255,0.43529411764705883,2.2972972972972974,0.831733343846092
2576,68057243,3,2021-06-29 03:31:39,20,13823,16,16384,"billing=16,cpu=16,mem=16384M,node=1",1,OUT_OF_MEMORY,1778590,2021-06-29 03:31:39,2021-07-03 08:16:45,44165,2021-07-03 20:32:50,2 days 12:00:00,68056175,4 days 04:45:06,362706,4 days 04:45:06,362706,0 days 12:16:05,44165,68056175,1024.0,216000,2021-06-29 12:00:00,71939982,332205,20,0.00041535077626,3012,43315,132643448,2403671.03,1035268.46,229,2838,6015160,148616.87,42161.3,62,992,1015808,52320.0,9429.9,62,992,1015808,52320.0,9429.9,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3 days 20:16:45,71939982,4884,31238,111897700,1337952.83,1456,4207,10190552,129454.42,4,60,61440,802.86,1,16,16384,76.6,0,0,0,0,0.0,0.0,0.0,0.0,11567677,65143,0.00111,82482590,0.00255,0.43529411764705883,2.2972972972972974,0.831733343846092
